song_base,source,variant,ref_len,hyp_len,wer,cer,lev_dist_chars,rougeL_f1,uni_prec,uni_rec,uni_f1
Gilby-Clarke---Tijuana-Jail,whisper_openai,large-v2,329,215,0.802432,0.640345,1038,0.283088,0.465116,0.303951,0.367647
Gilby-Clarke---Tijuana-Jail,whisper_openai,large-v3,329,29,0.945289,0.896977,1454,0.100559,0.620690,0.054711,0.100559
Gilby-Clarke---Tijuana-Jail,whisper_timestamped,large-v2,329,336,0.884498,0.753239,1221,0.330827,0.360119,0.367781,0.363910
Gilby-Clarke---Tijuana-Jail,whisper_timestamped,large-v3,329,446,1.279635,0.786552,1275,0.082581,0.085202,0.115502,0.098065
Gilby-Clarke---Tijuana-Jail,whisper_timestamped,small,329,69,0.948328,0.828501,1343,0.085427,0.260870,0.054711,0.090452
Gilby-Clarke---Tijuana-Jail_large-v2,whisperx,15,329,289,0.677812,0.500925,812,0.436893,0.546713,0.480243,0.511327
Gilby-Clarke---Tijuana-Jail_large-v2,whisperx,None,329,363,0.686930,0.482418,782,0.424855,0.465565,0.513678,0.488439
Gilby-Clarke---Tijuana-Jail_large-v3-turbo,whisperx,15,329,245,0.626140,0.456508,740,0.505226,0.665306,0.495441,0.567944
Gilby-Clarke---Tijuana-Jail_large-v3-turbo,whisperx,None,329,309,0.437690,0.283159,459,0.667712,0.747573,0.702128,0.724138
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun,whisper_openai,large-v2,261,255,0.206897,0.158730,190,0.864341,0.894118,0.873563,0.883721
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun,whisper_openai,large-v3,261,281,0.344828,0.304094,364,0.774908,0.779359,0.839080,0.808118
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun,whisper_timestamped,large-v2,261,100,0.670498,0.638262,764,0.493075,0.920000,0.352490,0.509695
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun,whisper_timestamped,large-v3,261,274,0.800766,0.662490,793,0.340187,0.335766,0.352490,0.343925
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun,whisper_timestamped,small,261,229,0.613027,0.461153,552,0.444898,0.489083,0.429119,0.457143
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun_large-v2,whisperx,15,261,252,0.367816,0.271512,325,0.721248,0.797619,0.770115,0.783626
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun_large-v2,whisperx,None,261,270,0.287356,0.194653,233,0.802260,0.822222,0.850575,0.836158
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun_large-v3-turbo,whisperx,15,261,263,0.363985,0.257310,308,0.698473,0.749049,0.754789,0.751908
Jeff-Buckley---All-Flowers-In-Time-Bend-Towards-The-Sun_large-v3-turbo,whisperx,None,261,287,0.406130,0.278195,333,0.722628,0.703833,0.773946,0.737226
Kaleo---All-The-Pretty-Girls,whisper_openai,large-v2,301,514,1.053156,0.628196,860,0.527607,0.426070,0.727575,0.537423
Kaleo---All-The-Pretty-Girls,whisper_openai,large-v3,301,361,0.392027,0.325055,445,0.758308,0.714681,0.857143,0.779456
Kaleo---All-The-Pretty-Girls,whisper_timestamped,large-v2,301,187,0.803987,0.653031,894,0.282787,0.454545,0.282392,0.348361
Kaleo---All-The-Pretty-Girls,whisper_timestamped,large-v3,301,129,0.604651,0.580716,795,0.553488,0.937984,0.401993,0.562791
Kaleo---All-The-Pretty-Girls,whisper_timestamped,small,301,138,0.611296,0.566837,776,0.533030,0.905797,0.415282,0.569476
Kaleo---All-The-Pretty-Girls_large-v2,whisperx,15,301,290,0.139535,0.080351,110,0.890017,0.906897,0.873754,0.890017
Kaleo---All-The-Pretty-Girls_large-v2,whisperx,None,301,287,0.126246,0.078159,107,0.901361,0.923345,0.880399,0.901361
Kaleo---All-The-Pretty-Girls_large-v3-turbo,whisperx,15,301,300,0.172757,0.092038,126,0.855241,0.863333,0.860465,0.861897
Kaleo---All-The-Pretty-Girls_large-v3-turbo,whisperx,None,301,290,0.182724,0.105186,144,0.849408,0.872414,0.840532,0.856176
Mira---Duro,whisper_openai,large-v2,272,306,0.224265,0.172043,224,0.847751,0.810458,0.911765,0.858131
Mira---Duro,whisper_openai,large-v3,272,322,0.305147,0.221966,289,0.804714,0.757764,0.897059,0.821549
Mira---Duro,whisper_timestamped,large-v2,272,274,0.242647,0.156682,204,0.813187,0.817518,0.823529,0.820513
Mira---Duro,whisper_timestamped,large-v3,272,319,0.297794,0.221966,289,0.805415,0.761755,0.893382,0.822335
Mira---Duro,whisper_timestamped,small,272,300,0.301471,0.196621,256,0.776224,0.760000,0.838235,0.797203
